Binary representation,Error,Features selected,Lookup value,Penalty factor
110010001,0.4,"(0, 1, 4, 8)",0.44,0.01
110001100,0.3846153846153846,"(0, 1, 5, 6)",0.42461538461538456,0.01
110001010,0.3538461538461538,"(0, 1, 5, 7)",0.3938461538461538,0.01
110001001,0.4,"(0, 1, 5, 8)",0.44,0.01
110000110,0.3384615384615385,"(0, 1, 6, 7)",0.37846153846153846,0.01
110000101,0.3846153846153846,"(0, 1, 6, 8)",0.42461538461538456,0.01
110000011,0.36923076923076925,"(0, 1, 7, 8)",0.40923076923076923,0.01
101110000,0.32307692307692304,"(0, 2, 3, 4)",0.363076923076923,0.01
101101000,0.3076923076923077,"(0, 2, 3, 5)",0.3476923076923077,0.01
101100100,0.29230769230769227,"(0, 2, 3, 6)",0.33230769230769225,0.01
101100010,0.29230769230769227,"(0, 2, 3, 7)",0.33230769230769225,0.01
101100001,0.3076923076923077,"(0, 2, 3, 8)",0.3476923076923077,0.01
101011000,0.3538461538461538,"(0, 2, 4, 5)",0.3938461538461538,0.01
101010100,0.32307692307692304,"(0, 2, 4, 6)",0.363076923076923,0.01
101010010,0.3538461538461538,"(0, 2, 4, 7)",0.3938461538461538,0.01
101010001,0.3538461538461538,"(0, 2, 4, 8)",0.3938461538461538,0.01
101001100,0.3076923076923077,"(0, 2, 5, 6)",0.3476923076923077,0.01
101001010,0.32307692307692304,"(0, 2, 5, 7)",0.363076923076923,0.01
101001001,0.3538461538461538,"(0, 2, 5, 8)",0.3938461538461538,0.01
101000110,0.29230769230769227,"(0, 2, 6, 7)",0.33230769230769225,0.01
101000101,0.3076923076923077,"(0, 2, 6, 8)",0.3476923076923077,0.01
101000011,0.3384615384615385,"(0, 2, 7, 8)",0.37846153846153846,0.01
100111000,0.32307692307692304,"(0, 3, 4, 5)",0.363076923076923,0.01
100110100,0.36923076923076925,"(0, 3, 4, 6)",0.40923076923076923,0.01
100110010,0.36923076923076925,"(0, 3, 4, 7)",0.40923076923076923,0.01
100110001,0.36923076923076925,"(0, 3, 4, 8)",0.40923076923076923,0.01
100101100,0.3076923076923077,"(0, 3, 5, 6)",0.3476923076923077,0.01
100101010,0.36923076923076925,"(0, 3, 5, 7)",0.40923076923076923,0.01
100101001,0.3384615384615385,"(0, 3, 5, 8)",0.37846153846153846,0.01
100100110,0.3076923076923077,"(0, 3, 6, 7)",0.3476923076923077,0.01
100100101,0.36923076923076925,"(0, 3, 6, 8)",0.40923076923076923,0.01
100100011,0.3538461538461538,"(0, 3, 7, 8)",0.3938461538461538,0.01
100011100,0.4,"(0, 4, 5, 6)",0.44,0.01
100011010,0.36923076923076925,"(0, 4, 5, 7)",0.40923076923076923,0.01
100011001,0.4307692307692308,"(0, 4, 5, 8)",0.4707692307692308,0.01
100010110,0.3384615384615385,"(0, 4, 6, 7)",0.37846153846153846,0.01
100010101,0.4,"(0, 4, 6, 8)",0.44,0.01
100010011,0.36923076923076925,"(0, 4, 7, 8)",0.40923076923076923,0.01
100001110,0.36923076923076925,"(0, 5, 6, 7)",0.40923076923076923,0.01
100001101,0.4,"(0, 5, 6, 8)",0.44,0.01
100001011,0.4,"(0, 5, 7, 8)",0.44,0.01
100000111,0.3384615384615385,"(0, 6, 7, 8)",0.37846153846153846,0.01
011110000,0.3538461538461538,"(1, 2, 3, 4)",0.3938461538461538,0.01
011101000,0.3384615384615385,"(1, 2, 3, 5)",0.37846153846153846,0.01
011100100,0.3846153846153846,"(1, 2, 3, 6)",0.42461538461538456,0.01
011100010,0.36923076923076925,"(1, 2, 3, 7)",0.40923076923076923,0.01
011100001,0.3384615384615385,"(1, 2, 3, 8)",0.37846153846153846,0.01
011011000,0.49230769230769234,"(1, 2, 4, 5)",0.5323076923076924,0.01
011010100,0.3846153846153846,"(1, 2, 4, 6)",0.42461538461538456,0.01
011010010,0.4461538461538461,"(1, 2, 4, 7)",0.4861538461538461,0.01
011010001,0.5076923076923077,"(1, 2, 4, 8)",0.5476923076923077,0.01
011001100,0.36923076923076925,"(1, 2, 5, 6)",0.40923076923076923,0.01
011001010,0.4461538461538461,"(1, 2, 5, 7)",0.4861538461538461,0.01
011001001,0.49230769230769234,"(1, 2, 5, 8)",0.5323076923076924,0.01
011000110,0.3538461538461538,"(1, 2, 6, 7)",0.3938461538461538,0.01
011000101,0.36923076923076925,"(1, 2, 6, 8)",0.40923076923076923,0.01
011000011,0.523076923076923,"(1, 2, 7, 8)",0.563076923076923,0.01
010111000,0.36923076923076925,"(1, 3, 4, 5)",0.40923076923076923,0.01
010110100,0.3384615384615385,"(1, 3, 4, 6)",0.37846153846153846,0.01
010110010,0.36923076923076925,"(1, 3, 4, 7)",0.40923076923076923,0.01
010110001,0.36923076923076925,"(1, 3, 4, 8)",0.40923076923076923,0.01
010101100,0.3538461538461538,"(1, 3, 5, 6)",0.3938461538461538,0.01
010101010,0.3538461538461538,"(1, 3, 5, 7)",0.3938461538461538,0.01
010101001,0.36923076923076925,"(1, 3, 5, 8)",0.40923076923076923,0.01
010100110,0.3076923076923077,"(1, 3, 6, 7)",0.3476923076923077,0.01
010100101,0.29230769230769227,"(1, 3, 6, 8)",0.33230769230769225,0.01
010100011,0.3538461538461538,"(1, 3, 7, 8)",0.3938461538461538,0.01
010011100,0.4307692307692308,"(1, 4, 5, 6)",0.4707692307692308,0.01
010011010,0.46153846153846156,"(1, 4, 5, 7)",0.5015384615384616,0.01
010011001,0.5384615384615384,"(1, 4, 5, 8)",0.5784615384615385,0.01
