Features selected,Binary representation,Error,Lookup value
"(1, 2, 3, 8)",0111000010,0.20364528566421314,0.16364528566421313
"(1, 2, 3, 9)",0111000001,0.24377847879425163,0.20377847879425162
"(1, 2, 4, 5)",0110110000,0.2429022082018928,0.20290220820189278
"(1, 2, 4, 6)",0110101000,0.25481948825797407,0.21481948825797406
"(1, 2, 4, 7)",0110100100,0.24518051174202593,0.20518051174202592
"(1, 2, 4, 8)",0110100010,0.20364528566421314,0.16364528566421313
"(1, 2, 4, 9)",0110100001,0.24360322467577988,0.20360322467577988
"(1, 2, 5, 6)",0110011000,0.25481948825797407,0.21481948825797406
"(1, 2, 5, 7)",0110010100,0.2429022082018928,0.20290220820189278
"(1, 2, 5, 8)",0110010010,0.19733613739922884,0.15733613739922883
"(1, 2, 5, 9)",0110010001,0.2429022082018928,0.20290220820189278
"(1, 2, 6, 7)",0110001100,0.25481948825797407,0.21481948825797406
"(1, 2, 6, 8)",0110001010,0.194006309148265,0.154006309148265
"(1, 2, 6, 9)",0110001001,0.25236593059936907,0.21236593059936906
"(1, 2, 7, 8)",0110000110,0.20347003154574128,0.16347003154574127
"(1, 2, 7, 9)",0110000101,0.24518051174202593,0.20518051174202592
"(1, 2, 8, 9)",0110000011,0.20224325271643884,0.16224325271643883
"(1, 3, 4, 5)",0101110000,0.2655099894847529,0.2255099894847529
"(1, 3, 4, 6)",0101101000,0.2693655800911321,0.2293655800911321
"(1, 3, 4, 7)",0101100100,0.2563967753242201,0.2163967753242201
"(1, 3, 4, 8)",0101100010,0.2302839116719243,0.1902839116719243
"(1, 3, 4, 9)",0101100001,0.25622152120574837,0.21622152120574836
"(1, 3, 5, 6)",0101011000,0.2693655800911321,0.2293655800911321
"(1, 3, 5, 7)",0101010100,0.2655099894847529,0.2255099894847529
"(1, 3, 5, 8)",0101010010,0.2316859446196986,0.1916859446196986
"(1, 3, 5, 9)",0101010001,0.27094286715737825,0.23094286715737825
"(1, 3, 6, 7)",0101001100,0.2693655800911321,0.2293655800911321
"(1, 3, 6, 8)",0101001010,0.21310900806168942,0.1731090080616894
"(1, 3, 6, 9)",0101001001,0.26603575184016826,0.22603575184016825
"(1, 3, 7, 8)",0101000110,0.22940764107956535,0.18940764107956534
"(1, 3, 7, 9)",0101000101,0.25622152120574837,0.21622152120574836
"(1, 3, 8, 9)",0101000011,0.2327374693305293,0.1927374693305293
"(1, 4, 5, 6)",0100111000,0.2693655800911321,0.2293655800911321
"(1, 4, 5, 7)",0100110100,0.2658604977216965,0.2258604977216965
"(1, 4, 5, 8)",0100110010,0.231335436382755,0.191335436382755
"(1, 4, 5, 9)",0100110001,0.2704171048019628,0.23041710480196279
"(1, 4, 6, 7)",0100101100,0.2693655800911321,0.2293655800911321
"(1, 4, 6, 8)",0100101010,0.21310900806168942,0.1731090080616894
"(1, 4, 6, 9)",0100101001,0.26603575184016826,0.22603575184016825
"(1, 4, 7, 8)",0100100110,0.2365930599369085,0.19659305993690848
"(1, 4, 7, 9)",0100100101,0.2588503329828251,0.2188503329828251
"(1, 4, 8, 9)",0100100011,0.23466526463371884,0.19466526463371883
"(1, 5, 6, 7)",0100011100,0.2718191377497371,0.2318191377497371
"(1, 5, 6, 8)",0100011010,0.21310900806168942,0.1731090080616894
"(1, 5, 6, 9)",0100011001,0.26989134244654744,0.22989134244654744
"(1, 5, 7, 8)",0100010110,0.22940764107956535,0.18940764107956534
"(1, 5, 7, 9)",0100010101,0.27409744128987035,0.23409744128987034
"(1, 5, 8, 9)",0100010011,0.22011917280056081,0.1801191728005608
"(1, 6, 7, 8)",0100001110,0.21310900806168942,0.1731090080616894
"(1, 6, 7, 9)",0100001101,0.26989134244654744,0.22989134244654744
"(1, 6, 8, 9)",0100001011,0.21310900806168942,0.1731090080616894
"(1, 7, 8, 9)",0100000111,0.23326323168594465,0.19326323168594464
"(2, 3, 4, 5)",0011110000,0.2870662460567823,0.24706624605678232
"(2, 3, 4, 6)",0011101000,0.2788293024886085,0.23882930248860848
"(2, 3, 4, 7)",0011100100,0.291447599018577,0.251447599018577
"(2, 3, 4, 8)",0011100010,0.21100595864002802,0.17100595864002802
"(2, 3, 4, 9)",0011100001,0.30511742025937605,0.26511742025937607
"(2, 3, 5, 6)",0011011000,0.2784787942516649,0.23847879425166488
"(2, 3, 5, 7)",0011010100,0.28215913073957233,0.24215913073957232
"(2, 3, 5, 8)",0011010010,0.20434630213810023,0.16434630213810023
"(2, 3, 5, 9)",0011010001,0.2847879425166492,0.24478794251664918
"(2, 3, 6, 7)",0011001100,0.27444794952681384,0.23444794952681383
"(2, 3, 6, 8)",0011001010,0.20294426919032593,0.16294426919032592
"(2, 3, 6, 9)",0011001001,0.27970557308096744,0.23970557308096743
"(2, 3, 7, 8)",0011000110,0.20732562215212058,0.16732562215212057
"(2, 3, 7, 9)",0011000101,0.2912723449001051,0.25127234490010514
"(2, 3, 8, 9)",0011000011,0.20382053978268488,0.16382053978268488
"(2, 4, 5, 6)",0010111000,0.27830354013319314,0.23830354013319313
"(2, 4, 5, 7)",0010110100,0.28215913073957233,0.24215913073957232
"(2, 4, 5, 8)",0010110010,0.20487206449351558,0.16487206449351557
"(2, 4, 5, 9)",0010110001,0.28829302488608477,0.24829302488608476
"(2, 4, 6, 7)",0010101100,0.2742726954083421,0.23427269540834209
"(2, 4, 6, 8)",0010101010,0.20347003154574128,0.16347003154574127
"(2, 4, 6, 9)",0010101001,0.2788293024886085,0.23882930248860848
"(2, 4, 7, 8)",0010100110,0.20767613038906418,0.16767613038906418
"(2, 4, 7, 9)",0010100101,0.288994041359972,0.24899404135997197
"(2, 4, 8, 9)",0010100011,0.20767613038906418,0.16767613038906418
"(2, 5, 6, 7)",0010011100,0.2742726954083421,0.23427269540834209
"(2, 5, 6, 8)",0010011010,0.19873817034700314,0.15873817034700313
"(2, 5, 6, 9)",0010011001,0.2784787942516649,0.23847879425166488
"(2, 5, 7, 8)",0010010110,0.20592358920434628,0.16592358920434627
"(2, 5, 7, 9)",0010010101,0.28215913073957233,0.24215913073957232
"(2, 5, 8, 9)",0010010011,0.20119172800560814,0.16119172800560813
"(2, 6, 7, 8)",0010001110,0.2003154574132492,0.16031545741324918
"(2, 6, 7, 9)",0010001101,0.2742726954083421,0.23427269540834209
"(2, 6, 8, 9)",0010001011,0.19803715387311605,0.15803715387311604
"(2, 7, 8, 9)",0010000111,0.20241850683491058,0.16241850683491058
"(3, 4, 5, 6)",0001111000,0.2788293024886085,0.23882930248860848
"(3, 4, 5, 7)",0001110100,0.2837364178058185,0.24373641780581848
"(3, 4, 5, 8)",0001110010,0.23378899404136,0.19378899404136
"(3, 4, 5, 9)",0001110001,0.29985979670522256,0.2598597967052226
"(3, 4, 6, 7)",0001101100,0.2753242201191728,0.23532422011917278
"(3, 4, 6, 8)",0001101010,0.2222222222222222,0.1822222222222222
"(3, 4, 6, 9)",0001101001,0.27900455660708023,0.23900455660708023
"(3, 4, 7, 8)",0001100110,0.2330879775674728,0.19308797756747278
"(3, 4, 7, 9)",0001100101,0.2919733613739923,0.25197336137399234
"(3, 4, 8, 9)",0001100011,0.2344900105152471,0.19449001051524709
"(3, 5, 6, 7)",0001011100,0.2753242201191728,0.23532422011917278
"(3, 5, 6, 8)",0001011010,0.2187171398527865,0.1787171398527865
"(3, 5, 6, 9)",0001011001,0.2784787942516649,0.23847879425166488
"(3, 5, 7, 8)",0001010110,0.23676831405538035,0.19676831405538034
"(3, 5, 7, 9)",0001010101,0.2837364178058185,0.24373641780581848
"(3, 5, 8, 9)",0001010011,0.22134595162986326,0.18134595162986325
"(3, 6, 7, 8)",0001001110,0.2208201892744479,0.1808201892744479
