Features selected,Binary representation,Error,Lookup value
"(1, 2, 4, 5, 6)",011011100,0.34883720930232553,0.29883720930232555
"(1, 2, 4, 5, 7)",011011010,0.34883720930232553,0.29883720930232555
"(1, 2, 4, 5, 8)",011011001,0.41860465116279066,0.3686046511627907
"(1, 2, 4, 6, 7)",011010110,0.32558139534883723,0.27558139534883724
"(1, 2, 4, 6, 8)",011010101,0.34883720930232553,0.29883720930232555
"(1, 2, 4, 7, 8)",011010011,0.4418604651162791,0.3918604651162791
"(1, 2, 5, 6, 7)",011001110,0.32558139534883723,0.27558139534883724
"(1, 2, 5, 6, 8)",011001101,0.34883720930232553,0.29883720930232555
"(1, 2, 5, 7, 8)",011001011,0.34883720930232553,0.29883720930232555
"(1, 2, 6, 7, 8)",011000111,0.32558139534883723,0.27558139534883724
"(1, 3, 4, 5, 6)",010111100,0.2558139534883721,0.20581395348837211
"(1, 3, 4, 5, 7)",010111010,0.34883720930232553,0.29883720930232555
"(1, 3, 4, 5, 8)",010111001,0.34883720930232553,0.29883720930232555
"(1, 3, 4, 6, 7)",010110110,0.2558139534883721,0.20581395348837211
"(1, 3, 4, 6, 8)",010110101,0.2558139534883721,0.20581395348837211
"(1, 3, 4, 7, 8)",010110011,0.34883720930232553,0.29883720930232555
"(1, 3, 5, 6, 7)",010101110,0.2558139534883721,0.20581395348837211
"(1, 3, 5, 6, 8)",010101101,0.2558139534883721,0.20581395348837211
"(1, 3, 5, 7, 8)",010101011,0.34883720930232553,0.29883720930232555
"(1, 3, 6, 7, 8)",010100111,0.2558139534883721,0.20581395348837211
"(1, 4, 5, 6, 7)",010011110,0.32558139534883723,0.27558139534883724
"(1, 4, 5, 6, 8)",010011101,0.34883720930232553,0.29883720930232555
"(1, 4, 5, 7, 8)",010011011,0.37209302325581395,0.32209302325581396
"(1, 4, 6, 7, 8)",010010111,0.32558139534883723,0.27558139534883724
"(1, 5, 6, 7, 8)",010001111,0.32558139534883723,0.27558139534883724
"(2, 3, 4, 5, 6)",001111100,0.34883720930232553,0.29883720930232555
"(2, 3, 4, 5, 7)",001111010,0.37209302325581395,0.32209302325581396
"(2, 3, 4, 5, 8)",001111001,0.37209302325581395,0.32209302325581396
"(2, 3, 4, 6, 7)",001110110,0.37209302325581395,0.32209302325581396
"(2, 3, 4, 6, 8)",001110101,0.3023255813953488,0.25232558139534883
"(2, 3, 4, 7, 8)",001110011,0.37209302325581395,0.32209302325581396
"(2, 3, 5, 6, 7)",001101110,0.37209302325581395,0.32209302325581396
"(2, 3, 5, 6, 8)",001101101,0.37209302325581395,0.32209302325581396
"(2, 3, 5, 7, 8)",001101011,0.37209302325581395,0.32209302325581396
"(2, 3, 6, 7, 8)",001100111,0.37209302325581395,0.32209302325581396
"(2, 4, 5, 6, 7)",001011110,0.32558139534883723,0.27558139534883724
"(2, 4, 5, 6, 8)",001011101,0.37209302325581395,0.32209302325581396
"(2, 4, 5, 7, 8)",001011011,0.34883720930232553,0.29883720930232555
"(2, 4, 6, 7, 8)",001010111,0.3023255813953488,0.25232558139534883
"(2, 5, 6, 7, 8)",001001111,0.32558139534883723,0.27558139534883724
"(3, 4, 5, 6, 7)",000111110,0.2558139534883721,0.20581395348837211
"(3, 4, 5, 6, 8)",000111101,0.2558139534883721,0.20581395348837211
"(3, 4, 5, 7, 8)",000111011,0.34883720930232553,0.29883720930232555
"(3, 4, 6, 7, 8)",000110111,0.2558139534883721,0.20581395348837211
"(3, 5, 6, 7, 8)",000101111,0.2558139534883721,0.20581395348837211
"(4, 5, 6, 7, 8)",000011111,0.32558139534883723,0.27558139534883724
"(0, 1, 2, 3, 4, 5)",111111000,0.37209302325581395,0.31209302325581395
"(0, 1, 2, 3, 4, 6)",111110100,0.3023255813953488,0.24232558139534882
"(0, 1, 2, 3, 4, 7)",111110010,0.37209302325581395,0.31209302325581395
"(0, 1, 2, 3, 4, 8)",111110001,0.37209302325581395,0.31209302325581395
"(0, 1, 2, 3, 5, 6)",111101100,0.3023255813953488,0.24232558139534882
"(0, 1, 2, 3, 5, 7)",111101010,0.37209302325581395,0.31209302325581395
"(0, 1, 2, 3, 5, 8)",111101001,0.37209302325581395,0.31209302325581395
"(0, 1, 2, 3, 6, 7)",111100110,0.37209302325581395,0.31209302325581395
"(0, 1, 2, 3, 6, 8)",111100101,0.3023255813953488,0.24232558139534882
"(0, 1, 2, 3, 7, 8)",111100011,0.37209302325581395,0.31209302325581395
"(0, 1, 2, 4, 5, 6)",111011100,0.2325581395348837,0.1725581395348837
"(0, 1, 2, 4, 5, 7)",111011010,0.3023255813953488,0.24232558139534882
"(0, 1, 2, 4, 5, 8)",111011001,0.34883720930232553,0.28883720930232554
"(0, 1, 2, 4, 6, 7)",111010110,0.3023255813953488,0.24232558139534882
"(0, 1, 2, 4, 6, 8)",111010101,0.2325581395348837,0.1725581395348837
"(0, 1, 2, 4, 7, 8)",111010011,0.3023255813953488,0.24232558139534882
"(0, 1, 2, 5, 6, 7)",111001110,0.3023255813953488,0.24232558139534882
"(0, 1, 2, 5, 6, 8)",111001101,0.2325581395348837,0.1725581395348837
"(0, 1, 2, 5, 7, 8)",111001011,0.3023255813953488,0.24232558139534882
"(0, 1, 2, 6, 7, 8)",111000111,0.3023255813953488,0.24232558139534882
"(0, 1, 3, 4, 5, 6)",110111100,0.2558139534883721,0.1958139534883721
"(0, 1, 3, 4, 5, 7)",110111010,0.34883720930232553,0.28883720930232554
"(0, 1, 3, 4, 5, 8)",110111001,0.34883720930232553,0.28883720930232554
"(0, 1, 3, 4, 6, 7)",110110110,0.2558139534883721,0.1958139534883721
"(0, 1, 3, 4, 6, 8)",110110101,0.2790697674418605,0.21906976744186052
"(0, 1, 3, 4, 7, 8)",110110011,0.37209302325581395,0.31209302325581395
"(0, 1, 3, 5, 6, 7)",110101110,0.2558139534883721,0.1958139534883721
"(0, 1, 3, 5, 6, 8)",110101101,0.2558139534883721,0.1958139534883721
"(0, 1, 3, 5, 7, 8)",110101011,0.34883720930232553,0.28883720930232554
"(0, 1, 3, 6, 7, 8)",110100111,0.2558139534883721,0.1958139534883721
"(0, 1, 4, 5, 6, 7)",110011110,0.39534883720930236,0.33534883720930236
"(0, 1, 4, 5, 6, 8)",110011101,0.41860465116279066,0.35860465116279067
"(0, 1, 4, 5, 7, 8)",110011011,0.4418604651162791,0.3818604651162791
"(0, 1, 4, 6, 7, 8)",110010111,0.39534883720930236,0.33534883720930236
"(0, 1, 5, 6, 7, 8)",110001111,0.39534883720930236,0.33534883720930236
"(0, 2, 3, 4, 5, 6)",101111100,0.34883720930232553,0.28883720930232554
"(0, 2, 3, 4, 5, 7)",101111010,0.37209302325581395,0.31209302325581395
"(0, 2, 3, 4, 5, 8)",101111001,0.37209302325581395,0.31209302325581395
"(0, 2, 3, 4, 6, 7)",101110110,0.37209302325581395,0.31209302325581395
"(0, 2, 3, 4, 6, 8)",101110101,0.3023255813953488,0.24232558139534882
"(0, 2, 3, 4, 7, 8)",101110011,0.37209302325581395,0.31209302325581395
"(0, 2, 3, 5, 6, 7)",101101110,0.37209302325581395,0.31209302325581395
"(0, 2, 3, 5, 6, 8)",101101101,0.34883720930232553,0.28883720930232554
"(0, 2, 3, 5, 7, 8)",101101011,0.37209302325581395,0.31209302325581395
"(0, 2, 3, 6, 7, 8)",101100111,0.37209302325581395,0.31209302325581395
"(0, 2, 4, 5, 6, 7)",101011110,0.3023255813953488,0.24232558139534882
"(0, 2, 4, 5, 6, 8)",101011101,0.3023255813953488,0.24232558139534882
"(0, 2, 4, 5, 7, 8)",101011011,0.3023255813953488,0.24232558139534882
"(0, 2, 4, 6, 7, 8)",101010111,0.2325581395348837,0.1725581395348837
"(0, 2, 5, 6, 7, 8)",101001111,0.3023255813953488,0.24232558139534882
"(0, 3, 4, 5, 6, 7)",100111110,0.2558139534883721,0.1958139534883721
"(0, 3, 4, 5, 6, 8)",100111101,0.2558139534883721,0.1958139534883721
"(0, 3, 4, 5, 7, 8)",100111011,0.34883720930232553,0.28883720930232554
"(0, 3, 4, 6, 7, 8)",100110111,0.2558139534883721,0.1958139534883721
"(0, 3, 5, 6, 7, 8)",100101111,0.2558139534883721,0.1958139534883721
"(0, 4, 5, 6, 7, 8)",100011111,0.39534883720930236,0.33534883720930236
"(1, 2, 3, 4, 5, 6)",011111100,0.3023255813953488,0.24232558139534882
"(1, 2, 3, 4, 5, 7)",011111010,0.37209302325581395,0.31209302325581395
"(1, 2, 3, 4, 5, 8)",011111001,0.37209302325581395,0.31209302325581395
"(1, 2, 3, 4, 6, 7)",011110110,0.37209302325581395,0.31209302325581395
"(1, 2, 3, 4, 6, 8)",011110101,0.3023255813953488,0.24232558139534882
"(1, 2, 3, 4, 7, 8)",011110011,0.37209302325581395,0.31209302325581395
"(1, 2, 3, 5, 6, 7)",011101110,0.37209302325581395,0.31209302325581395
"(1, 2, 3, 5, 6, 8)",011101101,0.3023255813953488,0.24232558139534882
"(1, 2, 3, 5, 7, 8)",011101011,0.37209302325581395,0.31209302325581395
"(1, 2, 3, 6, 7, 8)",011100111,0.37209302325581395,0.31209302325581395
"(1, 2, 4, 5, 6, 7)",011011110,0.32558139534883723,0.26558139534883723
"(1, 2, 4, 5, 6, 8)",011011101,0.3023255813953488,0.24232558139534882
"(1, 2, 4, 5, 7, 8)",011011011,0.34883720930232553,0.28883720930232554
"(1, 2, 4, 6, 7, 8)",011010111,0.32558139534883723,0.26558139534883723
"(1, 2, 5, 6, 7, 8)",011001111,0.32558139534883723,0.26558139534883723
"(1, 3, 4, 5, 6, 7)",010111110,0.2558139534883721,0.1958139534883721
"(1, 3, 4, 5, 6, 8)",010111101,0.2558139534883721,0.1958139534883721
"(1, 3, 4, 5, 7, 8)",010111011,0.34883720930232553,0.28883720930232554
"(1, 3, 4, 6, 7, 8)",010110111,0.2558139534883721,0.1958139534883721
"(1, 3, 5, 6, 7, 8)",010101111,0.2558139534883721,0.1958139534883721
"(1, 4, 5, 6, 7, 8)",010011111,0.32558139534883723,0.26558139534883723
"(2, 3, 4, 5, 6, 7)",001111110,0.37209302325581395,0.31209302325581395
"(2, 3, 4, 5, 6, 8)",001111101,0.34883720930232553,0.28883720930232554
"(2, 3, 4, 5, 7, 8)",001111011,0.37209302325581395,0.31209302325581395
"(2, 3, 4, 6, 7, 8)",001110111,0.37209302325581395,0.31209302325581395
"(2, 3, 5, 6, 7, 8)",001101111,0.37209302325581395,0.31209302325581395
"(2, 4, 5, 6, 7, 8)",001011111,0.32558139534883723,0.26558139534883723
"(3, 4, 5, 6, 7, 8)",000111111,0.2558139534883721,0.1958139534883721
"(0, 1, 2, 3, 4, 5, 6)",111111100,0.3023255813953488,0.2323255813953488
"(0, 1, 2, 3, 4, 5, 7)",111111010,0.37209302325581395,0.30209302325581394
"(0, 1, 2, 3, 4, 5, 8)",111111001,0.37209302325581395,0.30209302325581394
"(0, 1, 2, 3, 4, 6, 7)",111110110,0.37209302325581395,0.30209302325581394
"(0, 1, 2, 3, 4, 6, 8)",111110101,0.3023255813953488,0.2323255813953488
"(0, 1, 2, 3, 4, 7, 8)",111110011,0.37209302325581395,0.30209302325581394
"(0, 1, 2, 3, 5, 6, 7)",111101110,0.37209302325581395,0.30209302325581394
"(0, 1, 2, 3, 5, 6, 8)",111101101,0.3023255813953488,0.2323255813953488
"(0, 1, 2, 3, 5, 7, 8)",111101011,0.37209302325581395,0.30209302325581394
"(0, 1, 2, 3, 6, 7, 8)",111100111,0.37209302325581395,0.30209302325581394
"(0, 1, 2, 4, 5, 6, 7)",111011110,0.3023255813953488,0.2323255813953488
"(0, 1, 2, 4, 5, 6, 8)",111011101,0.2325581395348837,0.16255813953488368
"(0, 1, 2, 4, 5, 7, 8)",111011011,0.3023255813953488,0.2323255813953488
"(0, 1, 2, 4, 6, 7, 8)",111010111,0.3023255813953488,0.2323255813953488
"(0, 1, 2, 5, 6, 7, 8)",111001111,0.3023255813953488,0.2323255813953488
"(0, 1, 3, 4, 5, 6, 7)",110111110,0.2558139534883721,0.1858139534883721
"(0, 1, 3, 4, 5, 6, 8)",110111101,0.2558139534883721,0.1858139534883721
"(0, 1, 3, 4, 5, 7, 8)",110111011,0.34883720930232553,0.27883720930232553
"(0, 1, 3, 4, 6, 7, 8)",110110111,0.2558139534883721,0.1858139534883721
"(0, 1, 3, 5, 6, 7, 8)",110101111,0.2558139534883721,0.1858139534883721
